V1,V2
15.5916899720336,1135.88893328006
24.9889664124615,386.522472821678
16.6411912450664,3099.0836024399
9.95456839979808,8313.09136799596
36.2129641283826,2216.59836375079
34.578410311493,2375.50017901898
23.2129285014691,2610.43349657199
28.0349429323968,2804.89727831431
20.7478404705017,2929.26759786804
20.9293833131802,50.0481257557437
27.3386581469649,4439.73003194888
25.2682525623181,6760.42022016956
26.017452762152,164.062887638829
33.8217476126912,6440.55539583119
40.4501579279848,3572.07959570436
38.9022292109888,7533.85440754787
35.0840650826446,3929.55023243802
41.2924881205136,4821.67364270549
65.601599753884,8305.56760498385
35.883516203113,8511.04427149783
30.9704180064309,1583.73665594855
39.6484765019797,1419.42416939232
45.8921839989456,6233.87676288388
57.3369604642728,3063.32081973159
60.6767518302704,7293.75661138503
70.1671777096387,2097.61005199307
41.3730978771369,2003.39489009957
54.5797733217088,2703.23637750654
67.1256650155935,5837.36470372409
49.5132399550148,8179.17687353031
54.7572646598225,1278.48042456934
60.1359177402198,6943.01950124099
59.2878039329652,3397.35803545481
55.3441381399576,3226.38988185398
67.8163407281441,7143.81920074206
68.31015917603,34.8855337078652
79.942671394799,1592.1353427896
77.2079806529625,7993.3202337767
73.0660450660451,332.089133089133
95.8502554278416,2960.61621966794
75.3697564276049,5753.49695534506
72.0968664850136,3488.18351498638
91.686790505676,1530.72807017544
104.234851936219,2883.61036446469
80.0954674220963,5956.69915014164
96.3828859634125,6093.03427936399
92.9774206672091,3155.30899104963
94.4805042999082,3848.0006679469
84.7455481214617,4164.67359752959
83.5151100987092,255.755353075171
100.544667987074,2597.83904930679
85.9642505739587,138.810429649065
102.120425172122,2322.01944679309
132.125246725283,4559.11347568634
95.6584974805314,192.563902885937
104.493362325475,1177.09018081941
107.355925879866,3650.12038303694
115.561782508871,5285.87946149029
147.340073968027,8502.04187544739
111.515536402812,69.3529144930823
112.376085996171,7497.37240465322
120.636108512629,1263.5285313377
124.013597328244,1454.84875954198
121.767697466468,3228.58681073025
115.965573564518,5683.61301671064
114.494583361722,6724.76207671868
128.529952706253,3084.7789017341
145.839338573033,5425.55955904869
136.651906519065,3495.70221402214
136.860828772478,6360.63545738858
135.47202845028,5559.06825331692
135.2122985581,442.278795589483
148.458246034122,20.7674348997306
148.057851857388,7040.04820988116
159.995322917703,2408.08478455568
147.124324324324,2696.2222972973
145.111034955449,6229.11103495545
169.935171160254,243.443804907604
163.477987421384,1394.50314465409
167.452057345001,5135.92911003537
162.063239424632,657.752319346327
171.177971507548,8007.73038486073
164.294255568581,162.279718640094
164.911935953421,5841.86741872877
173.697171965572,1235.83980326717
176.779239285323,3291.7828565165
175.594965007776,7387.42544712286
178.453183005637,7518.46102021174
177.536663657338,330.455110843615
190.775787187839,4273.91281216069
181.496458684654,3628.96677908938
184.149912933354,6763.46620231122
198.426609848485,3144.47218276515
174.778864318258,3842.75508389821
186.420417869883,3959.14761338543
201.904321506642,5511.62569362704
191.384447530252,89.4146002777227
193.358509737511,1574.59187129551
198.882637628554,1504.55091752369
207.360693940963,6233.40471258415
205.704545454545,2226.3600160901
205.759902498477,3508.03046922608
206.441835502482,6050.94324433114
210.354811179859,1709.4570087476
205.885199686766,2314.19107282694
229.408275580921,5263.93314309009
215.057688338493,6514.14127966976
225.343138839502,6596.2986908033
251.867989359344,1927.77831966305
218.15680565665,4057.61235312467
249.527834629554,2524.46609360076
223.559654178674,4199.34913544669
237.541480635448,7097.32021596927
203.296720061022,7220.24195270786
220.515425888665,22.0278336686787
237.586515224746,2099.18656355727
223.162677304965,6324.88187056738
233.770796974985,5949.86212914485
229.022518899791,3067.81598841885
231.417627610677,8311.70978146924
253.777741246096,84.9644912049975
241.799433616525,3815.92420456438
237.677610759494,5319.64339398734
232.640395220588,5999.26401654412
242.105067567568,1107.31266891892
251.360978835979,7301.21706349206
